id;name;iso;language;lang
1;Account;mindshare extend;Gloves GB Togo;Fantastic
2;grey;calculate;Fish Program clear-thinking;Table Baby Checking
3;Engineer Republic Georgia;Sleek;Avon Neck;primary
4;Gorgeous;Movies EXE Rubber;Practical Facilitator Savings;target
5;Bond strategize;navigate;Corporate Strategist portals;Green salmon Iceland
6;Card;PNG Togo index;Dakota mobile Grocery;interface recontextualize
7;upward-trending;matrices Towels;lavender seamless;Tools Trinidad Baby
8;Maine;Investment;back-end Intuitive Handmade;Ports Solutions Functionality
9;Metrics Salad Avon;encompassing Frozen;Peso 1080p;override Awesome Hat
10;Gorgeous Montana;Fresh Account;revolutionize;Ridges overriding Computers
