id;title;description;start_date;end_date;percent_completed
1;withdrawal Avon rich;payment matrices payment;2022-02-04;2022-02-04;100
2;deposit;bifurcated virtual;2022-02-04;2022-02-03;47
3;Stream Human state;Quality proactive;2022-02-03;2022-02-04;28
4;Pizza synthesizing Pa'anga;Squares optical;2022-02-04;2022-02-03;84
5;Movies bypass Avon;Orchestrator integrate;2022-02-03;2022-02-04;23
6;TCP ADP Executive;Engineer navigate;2022-02-04;2022-02-03;19
7;Technician;Legacy THX;2022-02-04;2022-02-04;22
8;Florida;mission-critical copying;2022-02-04;2022-02-03;12
9;parse York;Vision-oriented;2022-02-04;2022-02-03;17
10;Bike enhance;GB Toys;2022-02-03;2022-02-03;30
