id;street;area;from_number;to_number
1;Claude Crossing;Garden;Handmade;expedite
2;Charlie Extensions;Pierre infrastructures Parkways;Savings Rustic;Shoes time-frame directional
3;Gleason Radial;Synchronised Carolina visionary;monitoring Universal modular;Account Rial
4;Deangelo Mills;Multi-lateral;capability;Ball
5;Alena Ports;Music;panel;Intelligent
6;Langosh Locks;Nebraska;invoice target Avon;Djibouti Fresh Fork
7;Schowalter Freeway;Underpass;Cotton Bedfordshire Liaison;Sleek
8;Karelle Ways;connect;COM Berkshire Crossroad;connect
9;Dereck Lakes;Chief;white;withdrawal dot-com Cheese
10;Ledner Mountains;Account Automotive Lev;deposit Granite e-commerce;model Mountain
